Sentence,Response
Deactivate toilet lights,Toilet lights deactivated
Power off toilet lights,Toilet lights powered off
Shut off toilet lights,Toilet lights shut off
Turn toilet lights off,Toilet lights off
Disable toilet lighting,Toilet lighting disabled
Stop toilet lights,Toilet lights stopped
Extinguish toilet lights,Toilet lights extinguished
Turn off toilet lighting,Toilet lighting turned off
Switch off toilet lighting,Toilet lighting switched off
Deactivate toilet lighting,Toilet lighting deactivated
Power off toilet lighting,Toilet lighting powered off
Shut off toilet lighting,Toilet lighting shut off
Disable toilet lights,Toilet lights disabled
Stop toilet lighting,Toilet lighting stopped
Extinguish toilet lighting,Toilet lighting extinguished
Turn off all toilet lights,All toilet lights turned off
Switch off all toilet lights,All toilet lights switched off
Deactivate all toilet lights,All toilet lights deactivated
Power off all toilet lights,All toilet lights powered off
Shut off all toilet lights,All toilet lights shut off
Turn on toilet lights,Toilet lights turned on
Activate toilet lights,Toilet lights activated
Switch on toilet lights,Toilet lights switched on
Enable toilet lights,Toilet lights enabled
Power on toilet lights,Toilet lights powered on
Start toilet lights,Toilet lights started
Light up toilet,Toilet lit up
Turn toilet lights on,Toilet lights on
Activate toilet lighting,Toilet lighting activated
Enable toilet lighting,Toilet lighting enabled
Switch on toilet lighting,Toilet lighting switched on
Turn on toilet lighting,Toilet lighting turned on
Activate all toilet lights,All toilet lights activated
Switch on all toilet lights,All toilet lights switched on
Enable all toilet lights,All toilet lights enabled
Power on all toilet lights,All toilet lights powered on
Start all toilet lights,All toilet lights started
Light up all toilet,All toilet lit up
Turn on all toilet lights,All toilet lights on
Lower basement shutters,Basement shutters lowered
Raise basement shutters,Basement shutters raised
Lift basement shutters,Basement shutters lifted
Open basement shutters,Basement shutters opened
Lower bathroom shutters,Bathroom shutters lowered
Close bathroom shutters,Bathroom shutters closed
Bring down bathroom shutters,Bathroom shutters brought down
Check bathroom shutters status,Bathroom shutters status retrieved
Show bathroom shutters status,Bathroom shutters status shown
What's the bathroom shutters status?,Bathroom shutters details displayed
Bathroom shutters check,Status checked
Raise bathroom shutters,Bathroom shutters raised
Lift bathroom shutters,Bathroom shutters lifted
Open bathroom shutters,Bathroom shutters opened
Bring up bathroom shutters,Bathroom shutters brought up
Lower cellar shutters,Cellar shutters lowered
Close cellar shutters,Cellar shutters closed
Bring down cellar shutters,Cellar shutters brought down
Shut cellar shutters,Cellar shutters shut
Check cellar shutters status,Cellar shutters status retrieved
Show cellar shutters status,Cellar shutters status shown
What's the cellar shutters status?,Cellar shutters details displayed
Cellar shutters check,Status checked
Raise cellar shutters,Cellar shutters raised
Lift cellar shutters,Cellar shutters lifted
Open cellar shutters,Cellar shutters opened
Bring up cellar shutters,Cellar shutters brought up
Lower kitchen shutters,Kitchen shutters lowered
Close kitchen shutters,Kitchen shutters closed
Check kitchen shutters status,Kitchen shutters status retrieved
Show kitchen shutters status,Kitchen shutters status shown
What's the kitchen shutters status?,Kitchen shutters details displayed
Raise kitchen shutters,Kitchen shutters raised
Lift kitchen shutters,Kitchen shutters lifted
Open kitchen shutters,Kitchen shutters opened
Bring up kitchen shutters,Kitchen shutters brought up
Lower library shutters,Library shutters lowered
Close library shutters,Library shutters closed
Bring down library shutters,Library shutters brought down
Raise library shutters,Library shutters raised
Lift library shutters,Library shutters lifted
Lower living room shutters,Living room shutters lowered
Close living room shutters,Living room shutters closed
Bring down living room shutters,Living room shutters brought down
Raise living room shutters,Living room shutters raised
Lift living room shutters,Living room shutters lifted
Open living room shutters,Living room shutters opened
Lower all shutters,All shutters lowered
Close all shutters,All shutters closed
Bring down all shutters,All shutters brought down
Check shutters status,Shutters status retrieved
Show shutters status,Shutters status shown
What's the shutters status?,Shutters details displayed
Raise all shutters,All shutters raised
Lift all shutters,All shutters lifted
Open all shutters,All shutters opened
Bring up all shutters,All shutters brought up
Lower toilet-link toilet shutters,Toilet shutters lowered
Close toilet shutters,Toilet shutters closed
Check toilet shutters status,Toilet shutters status retrieved
Show toilet shutters status,Toilet shutters status shown
What's the toilet shutters status?,Toilet shutters details displayed
Raise toilet shutters,Toilet shutters raised
Lift toilet shutters,Toilet shutters lifted
Open toilet shutters,Toilet shutters opened
Bring up toilet shutters,Toilet shutters brought up.
Illuminate the kitchen today.,Turning on the kitchen lights today.
Illuminate the kitchen tomorrow.,Turning on the kitchen lights tomorrow.
Turn on the light in the kitchen in 1 day.,Turning on the kitchen lights in 1 day.
Illuminate the dining room today.,Turning on the dining room lights today.
Don't illuminate the dining room today.,Okay I won’t turn on the dining room lights today.
Illuminate the dining room tomorrow.,Turning on the dining room lights tomorrow.
Turn on the light i n the dining room in 10 hours.,Turning on the dining room lights in 10 hours.
Turn on the light in the dining room in 1 day.,Turning on the dining room lights in 1 day.
Turn on the light in the bathroom.,Turning on the bathroom lights now.
Don't turn on the light right now.,"Okay, I won’t turn on the lights right now."
I would get mad if you'd put on the light right now.,No action will be taken.
I would not like it if you wouldn't turn on the light right now.,Turning on the lights now.
Is the light on in the living room.,Turning on the living room lights now.
Would you illuminate the living room in one hour for me please.,Turning on the living room lights in 1 hour.
It would be great if you'd turn on the light for me.,Turning on the lights now.
Light on in kitchen.,Turning on the kitchen lights now.
Light off in living room in a few hours.,Turning off the living room lights in 1 hour.
Turn the light off in the basement.,Turning off the basement lights now.
Turn the light off in the dining room.,Turning off the dining room lights.
I would like if you made it brighter.,Making it brighter now.
I would like if you made it brighter in 3 minutes.,Making it brighter in 3 minutes.
Can you make it brighter here in 8 minutes?,Making it brighter here in 8 minutes.
Can you make it more dark here?,Making it less bright here now.
Don't make it more dark here.,Not dimming the lights here.
I would get mad if you would turn on the light in the dining room right now.,I won't turn on the dining room lights right now.
Is the light on in the bathroom?,"Yes, the bathroom light is on."
Is the light on in the bathroom.,"Yes, the bathroom light is on."
Has the light been on long in the bathroom?,The bathroom light has been on for a while.
Has the light been off long in the kitchen?,The kitchen light has been off for a while.
Is the light in the bathroom on?,"Yes, the bathroom light is on."
Did you turn on the light already?,"Yes, the light is already on."
Can you please turn on the light?,Turning on the light.
Help me to turn on the light.,Turning on the light.
Can you please turn on the light in a minute?,Turning on the light in 1 minute.
Help me to turn on the light in a minute.,Turning on the light in 1 minute.
It is so dark here.,Turning on the lights now.
I can't see anything.,Turning on the lights now.
Lighten the room.,Brightening the room.
Can you please turn on the light in a few minutes?,Turning on the light in a few minutes.
Help me to turn on the light in a few minutes.,Turning on the light in a few minutes.
Lighten the room in a few minutes.,Brightening the room in a few minutes.
Lighten the room in 5 minutes.,Brightening the room in 5 minutes.
Turn the light off in the kitchen in 10 minutes.,Turning off the kitchen lights in 10 minutes.
Don't turn the light off in the kitchen in 10 minutes.,I won’t turn off the kitchen lights in 10 minutes.
Make it less dark in the attic now.,Making it brighter in the attic now.
Turn on the light in the attic.,Turning on the attic lights.
Illuminate the attic.,Turning on the attic lights.
Turn off the lights in one hour.,Turning off the lights in 1 hour.
Turn on the light.,Turning on the lights.
Flicker the lights for me.,Flickering the lights.
Turn on the refrigerator.,Turning on the refrigerator.
Turn on the oven.,Turning on the oven.
Turn on the music system.,Turning on the music system.
Turn off the light in the attic.,Turning off the attic light.
Turn off the light in the basement.,Turning off the basement light.
Turn off the light in the kitchen.,Turning off the kitchen light.
Turn off the light in the library.,Turning off the library light.
Turn off the light in the dining room.,Turning off the dining room light.
Turn off the light in the cellar.,Turning off the cellar light.
Turn off the lights in the attic.,Turning off the attic lights.
Turn off the lights in the basement.,Turning off the basement lights.
Turn off the lights in the kitchen.,Turning off the kitchen lights.
Turn off the lights in the library.,Turning off the library lights.
Turn off the lights in the dining room.,Turning off the dining room lights.
Turn off the lights in the cellar.,Turning off the cellar lights.
Turn off something in 45 minutes.,Turning something off in 45 minutes.
Turn on something.,Turning something on.
Put on a random appliance in 7 days.,Activating a random appliance in 7 days.
lights.,No action specified.
Can you make it less dark in the bathroom tomorrow?,Dimming the bathroom lights tomorrow.
Can you make it less dark in the toilet tomorrow?,Dimming the toilet lights tomorrow.
Turn on the light in the attic in one hour.,Turning on the attic light in 1 hour.
Can you turn off the lights in the cellar?,Turning off the cellar lights.
I would get mad if you turn on the lights right now.,I won’t turn on the lights right now.
It is dark in the cellar.,Turning on the lights in the cellar.
It is dark in the bathroom.,Turning on the lights in the bathroom.
It is dark in the living room.,Turning on the lights in the living room.
It is dark in the toilet.,Turning on the lights in the toilet.
It is dark in the attic.,Turning on the lights in the attic.
It is dark in the basement.,Turning on the lights in the basement.
Can you make it less dark in the dining room in 5 minutes?,Brightening the dining room in 5 minutes.
Can you make it less dark in the cellar in 85 minutes?,Brightening the cellar in 85 minutes.
Can you make it less dark in the attic in 5 minutes?,Brightening the attic in 5 minutes.
Can you make it less dark in the kitchen in 45 minutes?,Brightening the kitchen in 45 minutes.
Can you make it less dark in the toilet in 15 minutes?,Brightening the toilet in 15 minutes.
Can you make it less dark in the library in 50 minutes?,Brightening the library in 50 minutes.
Can you make it less dark in the basement in 5 minutes?,Brightening the basement in 5 minutes.
Can you make it more bright in the dining room in 15 hours?,Brightening the dining room in 15 hours.
Can you make it more bright in the cellar in 50 hours?,Brightening the cellar in 50 hours.
Can you make it more bright in the attic in an hour?,Brightening the attic in 1 hour.
Can you make it more bright in the kitchen in 5 days?,Brightening the kitchen in 5 days.
Can you make it more bright in the toilet in 5 weeks?,Brightening the toilet in 5 weeks.
Can you make it more bright in the library in 2 minutes?,Brightening the library in 2 minutes.
Can you make it more bright in the basement in 5 minutes?,Brightening the basement in 5 minutes.
Can you make it less bright in the dining room in 15 hours?,Dimming the dining room in 15 hours.
Can you make it less bright in the attic in an hour?,Dimming the attic in 1 hour.
Can you make it less bright in the kitchen in 5 days?,Dimming the kitchen in 5 days.
Can you make it less bright in the toilet in 5 weeks?,Dimming the toilet in 5 weeks.
Can you make it less bright in the library in 2 minutes?,Dimming the library in 2 minutes.
Don't turn off the lights.,"Okay, I won’t turn off the lights."
Turn on the lights when I get home.,Turning on the lights when you get home.
Turn on the lights when it's dark outside.,Turning on the lights when it gets dark outside.
Turn off the lights when it is light outside.,Turning off the lights when it gets light outside.
Was the camera in the bathroom on yesterday?,Yes the bathroom camera was on yesterday.
Was the camera in the toilet on yesterday?,Yes the toilet camera was on yesterday.
Is the recording device on?,Yes the recording device is currently on.
Was there motion with the motion viewer?,Yes the motion viewer detected activity.
Would you tell me if there was any motion on the camera outside?,Yes motion was detected on the outside camera.
Was there any motion on the camera outside?,Yes motion was detected on the outside camera.
Was there movement on the camera in the kitchen yesterday?,Yes there was motion detected in the kitchen yesterday.
Was there movement on the camera in the attic yesterday?,Yes there was motion detected in the attic yesterday.
Was there movement on the camera in the bathroom yesterday?,Yes there was motion detected in the bathroom yesterday.
Was there movement on the camera in the backyard yesterday?,Yes there was motion detected in the backyard yesterday.
I would like it that you'd tell me if the camera in the living room is on.,Yes the living room camera is currently on.
Did you see any movement tonight?,Yes there was some movement detected tonight.
Was there something strange outside?,Yes unusual activity was detected outside.
Is there something I should know about the motion?,Yes motion was detected that may require your attention.
How many cameras are there?,There are multiple cameras installed across different locations.
Where are all the cameras installed?,The cameras are installed in the kitchen living room backyard attic and bathroom.
Is there many motion on the cameras lately?,Yes there has been frequent motion detected recently.
What is the camera currently shooting?,The cameras are currently recording the assigned areas in real time.
Did humans appear on the camera today?,Yes human activity was detected on the cameras today.
Would you tell me if there was motion between September and October?,Yes motion events occurred between September and October.
Is the camera on?,Yes the camera is currently turned on.
Turn on the camera.,Turning the camera on now.
A camera does recording and viewing.,Correct the camera records and streams video for monitoring.
Could you give me some info on the camera in the backyard?,The backyard camera is functioning properly and monitoring for motion.
Was there any movement on the cameras today?,Yes movement was detected on the cameras today.
Was there a person outside today?,Yes a person was detected outside today.
Was there any movement on the cameras yesterday?,Yes there was motion activity recorded yesterday.
Was there a person outside yesterday?,Yes a person was detected outside yesterday.
camera.,Yes the camera is active and monitoring.
Was there any motion in the past hour on the camera outside?,Yes motion was detected on the outside camera in the past hour.
Was there any motion in the backyard yesterday?,Yes there was motion in the backyard yesterday.
Was there unusual activity on the camera in the backyard today?,Yes some unusual activity was recorded in the backyard today.
Lower the shutters in the living room.,Lowering the shutters in the living room now.
Lower the shutters in the kitchen.,Lowering the shutters in the kitchen now.
Lower the shutters in the library.,Lowering the shutters in the library now.
Lower the shutters in the basement.,Lowering the shutters in the basement now.
Lower the shutters in the cellar.,Lowering the shutters in the cellar now.
Lower the shutters in the bathroom.,Lowering the shutters in the bathroom now.
Lower the shutters in the toilet.,Lowering the shutters in the toilet now.
Raise the shutters in the living room.,Raising the shutters in the living room now.
Raise the shutters in the kitchen.,Raising the shutters in the kitchen now.
Raise the shutters in the library.,Raising the shutters in the library now.
Raise the shutters in the basement.,Raising the shutters in the basement now.
Raise the shutters in the cellar.,Raising the shutters in the cellar now.
Raise the shutters in the bathroom.,Raising the shutters in the bathroom now.
Raise the shutters in the toilet.,Raising the shutters in the toilet now.
Don't do anything with the shutters.,Okay I won't make any changes to the shutters.
The sun is blinding me in the toilet.,Lowering the shutters in the toilet to reduce the sunlight.
Turn down the window shutters.,Lowering the window shutters now.
Open the window shutters in a minute for me please.,I’ll open the window shutters in one minute.
Let the shutters down in the basement in an hour.,I’ll lower the shutters in the basement in one hour.
Shut the shutters in the kitchen.,The shutters in the kitchen are now closed.
Shut the shutters in a minute.,I’ll shut the shutters in one minute.
It is too light in the library.,Lowering the shutters in the library to reduce the brightness.
Let the shutters down in the basement when it is light outside.,I’ll lower the shutters in the basement when it gets bright outside.
Open up the shutters in the library when it is light outside.,I’ll open the shutters in the library when it becomes bright outside.
It is too bright in the kitchen.,Lowering the shutters in the kitchen to reduce the brightness.
Shut down the shutters when it gets too hot in the bathroom.,I’ll shut the shutters in the bathroom when the temperature gets too high.
Open up the shutters when it gets below 10 degrees fahrenheit.,I’ll open the shutters when the temperature drops below 10°F.
Don't do anything when it gets hot in the kitchen.,Okay I won’t make any changes to the kitchen shutters when it’s hot.
Play jazz music in the living room,Jazz music is now playing in the living room.
Pause the music,Music paused.
Resume the music,Music resumed.
Stop the music,Music stopped.
Skip to the next song,Skipped to the next song.
Play the previous song,Playing the previous song.
What song is currently playing?,"The current song is ""Fly Me to the Moon"" by Frank Sinatra."
Increase the volume by 10,Volume increased by 10.
Decrease the volume to 20,Volume set to 20.
Mute the music,Music muted.
Unmute the music,Music unmuted.
What is the current volume level?,The current volume level is 30.
Play my workout playlist,Workout playlist is now playing.
Shuffle my favorite playlist,Favorite playlist is now playing in shuffle mode.
"Add ""Bohemian Rhapsody"" to my evening playlist",Bohemian Rhapsody added to the evening playlist.
Remove the current song from my playlist,Current song removed from the playlist.
What playlists are available?,Available playlists: Workout Evening Chill Party.
Play classical music in the bedroom,Classical music is now playing in the bedroom.
Play some 80s rock music,80s rock music is now playing.
Play songs by The Beatles,Playing songs by The Beatles.
"Play ""Sweet Child O' Mine"" by Guns N' Roses","Playing ""Sweet Child O' Mine"" by Guns N' Roses."
Is this song by Taylor Swift?,This song is not by Taylor Swift; it's by Adele.
Switch music to the kitchen speaker,Music switched to the kitchen speaker.
Play music in all rooms,Music is now playing in all rooms.
Which speaker is the music playing on?,Music is playing on the living room speaker.
Repeat the current song,Current song set to repeat.
Loop my playlist,Playlist set to loop.
Play morning playlist tomorrow at 7 AM,Morning playlist scheduled for 7:00 AM tomorrow.
Stop the music tonight at 10 PM,Music will stop at 10:00 PM tonight.
Turn off the music system,Music system turned off.
Turn on the music system,Music system turned on.
Play the local jazz radio station,Local jazz radio station is now playing.
"Play the latest episode of ""Tech Talk""","Latest episode of ""Tech Talk"" is now playing."
Switch to Bluetooth audio,Switched to Bluetooth audio.
What is the current audio source?,The current audio source is Spotify.
Set the equalizer to bass boost,Equalizer set to bass boost.
Set a sleep timer for 30 minutes,Music will stop in 30 minutes.
What’s next in the music queue?,"Next in the queue is ""Hotel California"" by Eagles."
Clear the music queue,Music queue cleared.
"Add ""Imagine"" to the queue",Imagine added to the queue.
Reset playback speed to normal,Playback speed reset to normal.
What is the current playback speed?,The current playback speed is 1x.
Play rainforest sounds in the study,Rainforest sounds are now playing in the study.
Stop the ambient sounds,Ambient sounds stopped.
Are ambient sounds playing?,Ambient sounds are not playing.
Play Spotify in the living room and radio in the kitchen,Spotify playing in the living room radio in the kitchen.
Sync music across all speakers,Music synced across all speakers.
What sources are playing in each room?,Living room: Spotify Kitchen: Radio Bedroom: Off.
Enable voice control for the music system,Voice control enabled for the music system.
Disable voice control for the music system,Voice control disabled.
Is voice control enabled for the music system?,Voice control is enabled.
Play chill playlist every evening at 6 PM,Chill playlist scheduled for 6:00 PM daily.
Cancel the scheduled music for tomorrow,Music schedule for tomorrow canceled.
What music is scheduled for today?,Chill playlist is scheduled for 6:00 PM today.
"Create a new playlist called ""Dinner Vibes""","Playlist ""Dinner Vibes"" created."
"Delete the ""Old Hits"" playlist","Playlist ""Old Hits"" deleted."
How many songs are in my workout playlist?,Your workout playlist has 15 songs.
"Play ""Hallelujah"" by Leonard Cohen","Playing ""Hallelujah"" by Leonard Cohen."
Play music by Billie Eilish,Playing music by Billie Eilish.
Play reggae music in the backyard,Reggae music is now playing in the backyard.
Set volume to 50 in the bedroom,Bedroom volume set to 50.
Move music to the patio speaker,Music switched to the patio speaker.
Is the music system connected to Wi-Fi?,The music system is connected to Wi-Fi.
Play BBC Radio 1,BBC Radio 1 is now playing.
Skip forward 30 seconds in the podcast,Skipped forward 30 seconds in the podcast.
How many songs are in the queue?,There are 5 songs in the queue.
Set equalizer to vocal mode,Equalizer set to vocal mode.
Set a sleep timer for 15 minutes,Music will stop in 15 minutes.
Is a sleep timer active?,A 15-minute sleep timer is active.
Restart the current song,Current song restarted.
"Move ""Sweet Child O' Mine"" to the top of the playlist",Sweet Child O' Mine moved to the top of the playlist.
Who is the artist of the current song?,The artist of the current song is Frank Sinatra.
Play hip-hop music in the garage,Hip-hop music is now playing in the garage.
Set all speakers to the same volume,All speakers set to the same volume.
Was there movement in the library?,"Yes, movement was detected in the library minute."
Was there movement in the outside?,"Yes, movement was detected in the outside yesterday."
Turn on the camera in the all.,Turning on all camera for a day.
Was there movement in the cellar?,"Yes, movement was detected in the cellar day."
Turn on the camera in the kitchen.,Turning on the kitchen camera minute.
Turn on the camera in the kitchen.,Turning on the kitchen camera now.
Turn on the camera in the cellar.,Turning on the cellar camera minute.
Turn on the camera in the noon.,Turning on the camera in noon.
Was there movement in the dining room?,"Yes, movement was detected in the dining room hour."
Turn on the camera in the outside.,Turning on the outside camera month.
Turn on the camera in the outside.,Turning on the outside camera minute.
Turn on the camera in the basement.,Turning on the basement camera day.
Turn on the camera in the backyard.,Turning on the backyard camera minute.
Was there movement in the cellar?,"Yes, movement was detected in the cellar month."
Was there movement in the living room?,"Yes, movement was detected in the living room day."
Turn on the camera in the basement.,Turning on the basement camera week.
Was there movement in the backyard?,"Yes, movement was detected in the backyard now."
Turn on the camera in the attic.,Turning on the attic camera week.
Was there movement in the kitchen?,"Yes, movement was detected in the kitchen minute."
Was there movement in the living room?,"Yes, movement was detected in the living room today."
Turn on the camera in the cellar.,Turning on the cellar camera today.
Turn on the camera in the library.,Turning on the library camera today.
Was there movement in the bathroom?,"Yes, movement was detected in the bathroom week."
Was there movement in the kitchen?,"Yes, movement was detected in the kitchen month."
Was there movement in the outside?,"Yes, movement was detected in the outside month."
Turn on the camera in the all.,Turning on the all camera day.
Turn on the camera in the toilet.,Turning on the toilet camera day.
Was there movement in the basement?,"Yes, movement was detected in the basement minute."
Turn on the camera in the basement.,Turning on the basement camera yesterday.
Turn on the camera in the all.,Turning on the all camera tomorrow.
Turn on the camera in the kitchen.,Turning on the kitchen camera hour.
Turn on the camera in the toilet.,Turning on the toilet camera week.
Turn on the camera in the outside.,Turning on the outside camera tomorrow.
Was there movement in the kitchen?,"Yes, movement was detected in the kitchen tomorrow."
Turn on the camera in the basement.,Turning on the basement camera minute.
Turn on the camera in the backyard.,Turning on the backyard camera day.
Was there movement in the living room?,"Yes, movement was detected in the living room day."
Turn on the camera in the basement.,Turning on the basement camera minute.
Lower the shutters in the toilet.,Lowering the shutters in the toilet day.
Don't touch the shutters in the noon.,"Okay, I won’t touch the shutters at noon."
Don't touch the shutters in the toilet.,"Okay, I won’t touch the toilet shutters day."
Don't touch the shutters in the toilet.,"Okay, I won’t touch the toilet shutters yesterday."
Lower the shutters in the basement.,Lowering the shutters in the basement hour.
Raise the shutters in the library.,Raising the shutters in the library today.
Don't touch the shutters in the bathroom.,"Okay, I won’t touch the bathroom shutters minute."
Don't touch the shutters in the kitchen.,"Okay, I won’t touch the kitchen shutters hour."
Raise the shutters in the library.,Raising the shutters in the library minute.
Don't touch the shutters in the cellar.,"Okay, I won’t touch the cellar shutters tomorrow."
Lower the shutters in the living room.,Lowering the shutters in the living room now.
